Jumlah_ART,Jumlah_Keluarga,sta_bangunan,sta_lahan,luas_lantai,lantai,dinding,kondisi_dinding,atap,kondisi_atap,jumlah_kamar,sumber_airminum,cara_peroleh_airminum,sumber_penerangan,daya,bb_masak,fasbab,kloset,buang_tinja,ada_tabung_gas,ada_lemari_es,ada_ac,ada_pemanas,ada_telepon,ada_tv,ada_emas,ada_laptop,ada_sepeda,ada_motor,ada_mobil,ada_perahu,ada_motor_tempel,ada_perahu_motor,ada_kapal,aset_tak_bergerak,luas_atb,rumah_lain,jumlah_sapi,jumlah_kerbau,jumlah_kambing,sta_art_usaha,desil_susenas
3,1,1,1,72,3,1,1,5,2,2,9,4,1,4,3,4,1,3,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2000,1,0,0,0,0,0
4,1,1,1,48,3,1,2,5,2,3,9,4,1,4,3,1,4,5,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,72,1,0,0,0,1,1
5,1,1,1,50,3,1,1,5,1,3,6,4,1,4,3,4,1,2,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,2000,1,0,0,0,0,0
5,1,1,1,35,3,1,2,6,2,3,6,4,1,4,3,4,1,2,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,35,1,0,0,0,1,1
2,1,1,1,42,3,1,2,5,2,1,9,4,1,4,4,1,4,6,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,60,1,0,0,0,0,0
2,1,1,1,60,6,1,2,5,2,2,5,4,1,4,4,1,4,6,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1600,1,0,0,0,0,0
3,1,1,1,60,3,1,2,5,2,4,6,4,1,4,4,4,1,3,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,4800,1,0,0,0,0,0
2,1,1,1,56,9,2,0,5,2,1,8,4,1,4,4,1,4,6,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,70,1,0,0,0,0,0
5,1,1,1,60,3,1,2,5,2,3,4,2,1,4,4,4,1,3,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,200,1,0,0,0,1,1
6,1,1,1,75,3,1,2,5,2,2,6,4,1,4,4,4,1,3,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,20000,1,0,0,0,0,1
7,1,1,1,60,3,1,2,5,2,2,6,4,1,4,3,4,1,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1200,1,0,0,0,0,0
3,1,1,1,80,3,1,2,5,2,4,6,4,1,4,4,4,1,3,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1600,1,0,0,0,1,0
4,1,1,1,45,3,1,2,5,2,3,6,4,1,4,4,4,1,3,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,4000,1,0,0,0,0,1
4,1,1,1,70,3,1,2,5,2,2,9,4,1,4,4,4,1,3,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,2400,1,0,0,0,1,0
2,1,1,1,48,3,1,2,5,2,1,9,4,1,4,3,4,1,3,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,60,1,0,0,0,1,0
5,1,1,1,60,3,1,2,5,2,3,6,4,1,4,4,4,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,80,1,0,0,0,0,0
5,1,1,1,56,3,1,1,5,1,3,6,4,1,4,4,4,1,3,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,2400,1,0,0,0,1,0
4,1,1,1,48,3,1,2,5,2,2,6,4,1,4,3,4,1,3,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,80,1,0,0,0,1,0
5,1,1,1,48,6,1,2,5,2,3,6,4,1,4,4,1,4,4,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,3200,1,0,0,0,1,0
3,1,1,2,48,8,2,0,5,2,3,9,4,1,4,4,1,4,4,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,,1,0,0,6,0,0
5,1,1,1,40,3,1,2,5,2,2,5,4,1,4,3,4,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,800,1,0,0,0,1,1
6,1,1,1,40,3,1,2,5,2,2,6,4,1,4,3,4,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,100,1,0,0,0,0,1
1,1,1,1,60,3,1,2,5,2,1,9,4,1,4,4,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4000,1,0,0,0,1,0
2,1,1,1,60,6,1,2,5,2,3,6,4,1,4,3,4,1,3,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,7000,1,0,0,0,1,0
3,1,1,1,50,3,1,2,5,2,3,6,4,1,4,3,4,1,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,100,1,0,0,0,1,0
4,1,1,1,25,3,3,2,5,1,2,6,1,1,4,4,4,1,3,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,250,1,0,0,0,1,1
5,1,1,1,60,3,1,1,5,1,3,5,4,1,4,3,4,1,3,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,100,1,0,0,0,1,1
4,1,1,1,60,1,1,1,5,1,1,4,4,1,4,3,4,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,24,1,0,0,0,0,0
5,1,1,1,40,2,1,1,5,1,2,9,4,1,4,3,4,1,3,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,599,0,0,0,0,1,0
6,1,1,1,80,3,1,1,6,1,3,6,4,1,4,3,4,1,3,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,260,0,0,0,8,1,0
4,1,1,1,35,3,1,2,5,1,2,9,4,1,4,4,4,1,3,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,52,1,0,0,0,1,1
3,1,1,1,72,3,1,1,5,1,4,4,4,1,4,3,4,1,3,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,10,1,0,0,0,0,0
5,1,1,1,456,3,2,0,5,2,2,6,4,1,4,3,4,1,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,70,1,0,0,0,1,0
